id,lifeSat,age,emplStat55,healthSat,livtog
33401,5,56,1,5,1
33401,7,57,1,4,1
33401,5,58,1,5,1
33401,5,59,1,5,1
33401,6,60,1,3,1
34301,8,55,1,8,1
34301,8,56,1,8,1
34301,7,57,1,8,1
34301,5,58,1,6,1
34301,0,59,1,0,1
34501,8,55,1,8,1
34501,8,56,1,7,1
34501,8,57,1,7,1
35602,8,55,1,8,0
35602,8,56,1,9,0
35602,8,57,1,8,0
35701,6,55,1,6,1
35701,7,56,1,8,1
35701,7,57,1,8,1
35801,7,55,1,8,1
35801,5,56,1,5,1
35801,7,57,1,6,1
35801,8,58,1,7,1
35901,8,55,1,5,0
35901,5,56,1,5,0
35901,6,57,1,4,0
35901,8,58,1,5,0
35901,7,59,1,2,0
35901,7,60,1,2,1
36701,5,55,1,4,0
36701,5,56,1,4,0
36701,5,57,1,4,0
36901,3,55,3,0,1
36901,3,56,3,3,1
36901,5,57,3,0,1
36901,4,58,3,3,1
36901,4,59,3,0,1
36901,3,60,3,2,1
37501,8,55,1,8,0
37501,7,56,1,8,1
37501,7,57,1,8,1
37501,8,58,1,8,1
37501,8,59,1,7,1
37501,8,60,1,9,0
39301,6,55,3,4,0
39301,6,56,3,5,0
39301,7,57,3,7,0
39301,7,58,3,5,0
39301,7,59,3,7,0
39301,8,60,3,4,0
39901,10,55,1,10,0
39901,10,57,1,10,0
39901,8,58,1,10,0
39901,10,59,1,10,0
39901,10,60,1,10,0
40001,7,56,3,1,0
40001,3,57,3,3,0
40001,3,58,3,2,0
40001,2,59,3,2,0
40001,2,60,3,2,0
40301,8,55,1,5,1
40301,8,56,1,8,1
40401,6,55,1,6,0
40401,8,56,1,8,0
40701,7,55,1,6,1
40801,7,55,1,7,1
40801,7,56,1,10,1
40801,8,57,1,3,1
40801,5,58,1,6,1
40801,8,59,1,7,1
40801,8,60,1,8,1
41201,9,55,1,6,0
41202,6,55,1,7,0
41202,6,56,1,7,0
41202,5,57,1,6,0
41202,9,58,1,6,0
41202,7,59,1,5,0
41202,6,60,1,6,0
41601,7,55,1,6,1
41601,7,56,1,6,1
41701,7,55,1,6,0
41701,9,56,1,6,0
41701,10,57,1,10,0
41701,9,58,1,7,0
41701,9,59,1,8,0
